STATE,COUNTY,STNAME,CTYNAME,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,fips,DATE_WINDOW
6,1,California,Alameda County,2016-01-01,1650765,810640,840125,98194,50464,47730,174692,89105,85587,73039,37360,35679,142124,71124,71000,1341164,652282,688882,1304840,633711,671129,717345,358442,358903,520353,259285,261068,425687,208689,216998,216676,94613,122063,98194,50464,47730,98544,50293,48251,94319,48139,46180,93822,47335,46487,103170,51822,51348,138326,69164,69162,137597,68538,69059,127643,63637,64006,116787,57946,58841,113919,56835,57084,111283,54885,56398,107430,52354,55076,93055,44615,48440,76751,35490,41261,50879,23207,27672,34710,15280,19430,24867,10331,14536,29469,10305,19164,37.3,36.5,38.2,06001,2017-07-01
6,1,California,Alameda County,2017-07-01,1659824,815738,844086,97808,50109,47699,173584,88723,84861,73745,37608,36137,139353,69655,69698,1351653,658157,693496,1314687,639298,675389,720387,360571,359816,525988,262798,263190,425355,208879,216476,223991,97966,126025,97808,50109,47699,97224,49616,47608,95059,48597,46462,93447,47233,46214,100952,50540,50412,138897,69734,69163,139160,69701,69459,131058,65364,65694,116873,57999,58874,114528,57074,57454,108937,53928,55009,107420,52416,55004,94470,45461,49009,77193,35685,41508,55313,25191,30122,36194,15960,20234,25300,10559,14741,29991,10571,19420,37.5,36.7,38.3,06001,2018-07-01
6,1,California,Alameda County,2018-07-01,1666596,819588,847008,96452,49230,47222,172471,88374,84097,73740,37445,36295,137120,68399,68721,1360503,663177,697326,1323933,644539,679394,722813,362269,360544,530592,265828,264764,424758,208807,215951,231463,101505,129958,96452,49230,47222,96067,49042,47025,95043,48735,46308,93542,47285,46257,98679,49156,49523,137529,69169,68360,141540,71088,70452,134310,67318,66992,117213,58253,58960,114639,56983,57656,106955,53266,53689,107270,52297,54973,95894,46261,49633,78184,36194,41990,58570,26697,31873,38174,16900,21274,26088,10917,15171,30447,10797,19650,37.7,36.9,38.5,06001,2019-07-01
6,1,California,Alameda County,2019-07-01,1668412,821135,847277,94531,48349,46182,171232,87662,83570,73463,37332,36131,135013,67216,67797,1365604,666306,699298,1329186,647792,681394,723935,363429,360506,533984,268370,265614,421506,207296,214210,238683,104910,133773,94531,48349,46182,95493,48787,46706,94264,48364,45900,94022,47314,46708,95929,47745,48184,134440,67845,66595,144933,73126,71807,136827,68474,68353,117784,58925,58859,113120,56171,56949,105537,52616,52921,106693,52059,54634,96156,46450,49706,79234,36782,42452,61520,28004,33516,39867,17667,22200,26897,11322,15575,31165,11135,20030,37.9,37.1,38.7,06001,2020-04-01
6,1,California,Alameda County,2020-04-01,1665644,820124,845520,93161,47572,45589,169726,86979,82747,73509,37398,36111,132595,65973,66622,1365923,666750,699173,1329248,648175,681073,720809,362044,358765,533162,268136,265026,419473,206535,212938,244018,107531,136487,93161,47572,45589,94671,48500,46171,93512,47942,45570,93750,47210,46540,93897,46698,47199,129777,65507,64270,146802,74086,72716,137424,68836,68588,119159,59707,59452,111722,55558,56164,105805,52683,53122,105481,51602,53879,96465,46692,49773,79928,37280,42648,63693,28983,34710,41354,18232,23122,27514,11655,15859,31529,11381,20148,38.1,37.3,39.0,06001,2020-07-01
6,1,California,Alameda County,2020-07-01,1662323,818610,843713,92605,47254,45351,168894,86587,82307,73472,37391,36081,131385,65355,66030,1364037,665932,698105,1327352,647378,679974,718569,361007,357562,532211,267745,264466,418620,206186,212434,245136,108092,137044,92605,47254,45351,94155,48279,45876,93238,47792,45446,93376,47033,46343,92982,46229,46753,127869,64569,63300,147242,74312,72930,137607,68967,68640,119493,59897,59596,111224,55346,55878,105976,52738,53238,104972,51411,53561,96448,46691,49757,80120,37429,42691,64202,29195,35007,41741,18366,23375,27643,11727,15916,31430,11375,20055,38.2,37.4,39.0,06001,2021-07-01
6,1,California,Alameda County,2021-07-01,1643837,817927,825910,86533,44067,42466,164923,84607,80316,74391,38178,36213,128061,64470,63591,1354867,669918,684949,1317990,651075,666915,702021,356389,345632,518511,263507,255004,421770,212635,209135,249648,110463,139185,86533,44067,42466,90903,46724,44179,92962,47649,45313,92020,46854,45166,91490,46028,45462,115464,58341,57123,143033,72336,70697,137529,70378,67151,122485,62452,60033,111442,56616,54826,108883,55642,53241,104584,52506,52078,96861,47871,48990,81258,38728,42530,66277,30201,36076,42523,18820,23703,27894,11721,16173,31696,10993,20703,39.0,38.3,39.7,06001,2022-07-01
6,1,California,Alameda County,2022-07-01,1628997,809336,819661,83912,42733,41179,159453,81723,77730,74379,38306,36073,131633,65976,65657,1348039,665537,682502,1311253,646574,664679,694811,352010,342801,507682,257449,250233,415554,209442,206112,256384,113707,142677,83912,42733,41179,88581,45447,43134,89755,45997,43758,94440,47950,46490,92689,46611,46078,110310,55351,54959,139589,70470,69119,134969,69176,65793,122814,62452,60362,109640,55491,54149,108201,55130,53071,101295,51072,50223,96418,47749,48669,81735,39100,42635,66484,30248,36236,46629,20730,25899,29033,12251,16782,32503,11378,21125,39.3,38.6,39.9,06001,2024-01-01
6,3,California,Alpine County,2016-01-01,1053,558,495,37,21,16,108,53,55,48,23,25,77,44,33,885,468,417,860,461,399,286,151,135,172,92,80,373,207,166,238,118,120,37,21,16,57,24,33,62,37,25,60,28,32,54,31,23,56,33,23,42,20,22,31,14,17,43,25,18,87,46,41,83,47,36,100,51,49,103,63,40,108,53,55,55,26,29,26,14,12,28,17,11,21,8,13,49.9,50.0,49.7,06003,2017-07-01
6,3,California,Alpine County,2017-07-01,1116,608,508,39,24,15,111,57,54,57,35,22,92,54,38,935,504,431,909,492,417,334,184,150,204,110,94,359,200,159,254,128,126,39,24,15,55,28,27,75,44,31,68,34,34,62,40,22,64,36,28,50,27,23,40,22,18,50,25,25,71,38,33,79,42,37,111,61,50,98,59,39,108,56,52,67,33,34,29,14,15,28,16,12,22,9,13,48.9,48.0,49.8,06003,2018-07-01
